"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days","switch_w","potential","n.days"
3817.16666666667,"R3A",4,"A","F",578,"F578",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","F",583,"F583",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","F",589,"F589",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","F",599,"F599",0,1,0,0,1,0
3817.16666666667,"R3A",4,"A","M",533,"M533",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","M",539,"M539",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","M",573,"M573",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","M",574,"M574",0,1,0,0,1,0
3817.16666666667,"R3A",4,"A","M",580,"M580",0,1,0,0,1,0
3817.16666666667,"R3A",4,"A","M",581,"M581",0,1,0,0,1,0
3817.16666666667,"R3A",4,"A","M",582,"M582",0,1,0,0,1,0
3817.16666666667,"R3A",4,"A","M",584,"M584",0,1,0,0,1,0
3817.16666666667,"R3A",4,"J","M",591,"M591",0,1,0,0,1,0
3817.16666666667,"R3A",4,"A","M",593,"M593",0,1,3,0,1,0
3817.16666666667,"R3A",4,"A","M",598,"M598",0,1,0,0,1,0
3818.16666666667,"R32",3,"A","M",598,"M598",1,1,1,0,1,0
3819.16666666667,"R3A",4,"A","M",533,"M533",3,3,5,0,1,0
3819.16666666667,"R3A",4,"A","M",539,"M539",3,3,5,0,1,0
3819.16666666667,"R3A",4,"A","M",573,"M573",3,3,5,0,1,0
3819.16666666667,"R48",9,"A","M",568,"M568",3,3,9,0,1,0
3820.16666666667,"R32",3,"A","F",570,"F570",1,3,6,0,1,0
3820.16666666667,"R32",3,"A","F",572,"F572",1,3,6,0,1,0
3820.16666666667,"R32",3,"A","F",577,"F577",1,3,6,0,1,0
3820.16666666667,"R32",3,"A","F",578,"F578",1,3,6,0,1,0
3820.16666666667,"R3A",4,"A","M",533,"M533",0,1,1,0,1,0
3820.16666666667,"R3A",4,"A","M",539,"M539",0,1,1,0,1,0
3820.16666666667,"R3A",4,"A","M",573,"M573",0,1,1,0,1,0
3820.16666666667,"R48",9,"A","M",513,"M513",1,3,9,0,1,0
3820.16666666667,"R48",9,"A","M",568,"M568",0,1,1,0,1,0
3821.16666666667,"R32",3,"A","F",570,"F570",0,1,1,0,1,0
